CID,Smiles,MeltingPoint,Pressure
7505,C1=CC=C(C=C1)C#N,-12.8,
7508,C1CC(CC=C1)C=O,2,
7509,C1=CC=C(C=C1)CS,-30,
7509,C1=CC=C(C=C1)CS,-30,
7515,CNC1=CC=CC=C1,-57,
7515,CNC1=CC=CC=C1,-57,
7515,CNC1=CC=CC=C1,-57.22222222222222,
7515,CNC1=CC=CC=C1,-57.22222222222222,
7516,C1=CC=C(C=C1)NN,19.5,
7516,C1=CC=C(C=C1)NN,19.5,
7516,C1=CC=C(C=C1)NN,19.444444444444443,
7516,C1=CC=C(C=C1)NN,19.444444444444443,
7518,C1=CC=C(C=C1)NO,82,
7519,COC1=CC=CC=C1,-37.3,
7519,COC1=CC=CC=C1,-37.5,
7519,COC1=CC=CC=C1,-37,
7520,CSC1=CC=CC=C1,-15,
7522,C1=CC=NC(=C1)C#N,29,
7525,CCN1CCOCC1,-62.78,
7525,CCN1CCOCC1,-63,
7525,CCN1CCOCC1,-62.77777777777778,
7528,CC1(OCC(O1)CO)C,-26.4,
7529,CC1=CC(=CC=C1)C=C,-86.3,
7529,CC1=CC(=CC=C1)C=C,-86,
7531,CC(C)(CC1=CC=CC=C1)O,24,
7540,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,25,
7542,CC(C(=O)O)OC1=CC(=CC=C1)Cl,113,
7543,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,110,
7543,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,110,
7543,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,110,
7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,254.4,
7564,C1=CC=C(C=C1)NC2=CC=C(C=C2)N,75,
7564,C1=CC=C(C=C1)NC2=CC=C(C=C2)N,75,
7565,C1=CC=C(C=C1)OC2=CC=C(C=C2)Br,18.72,
7567,CN(C)C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C)C,91.5,
7570,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,37,
7570,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,37,
7570,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,37.22222222222222,
7570,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,37.22222222222222,
7573,CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2,75,
7577,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,92.5,
7577,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,92.5,
7577,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,92.22222222222223,
7577,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,92.22222222222223,
7580,C1=CC=C(C=C1)CC2=CC=CC=C2,25.4,
7582,C1CCC(CC1)NC2CCCCC2,-0.1,
7582,C1CCC(CC1)NC2CCCCC2,-0.1,
7583,C1=CC=C(C=C1)OC2=CC=CC=C2,26.865,
7583,C1=CC=C(C=C1)OC2=CC=CC=C2,28,
7583,C1=CC=C(C=C1)OC2=CC=CC=C2,27.77777777777778,
7583,C1=CC=C(C=C1)OC2=CC=CC=C2,27.77777777777778,
7589,CCC(C)NC1=CC=C(C=C1)NC(C)CC,18,
7590,CCOC(=O)CC1=CC=CC=C1,-29.4,
7590,CCOC(=O)CC1=CC=CC=C1,-29.4,
7592,CC(=O)CC(=O)NC1=CC=CC=C1,86,
7594,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,150,
7594,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,150,
7595,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,238,
7601,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,28,
7607,C1=CC(=C(C=C1N=C=O)Cl)Cl,43,
7610,CC1=C(C=CC(=C1)OC)N,29.5,
7612,C1C=CC=C1,-95.54,
7612,C1C=CC=C1,-85,
7612,C1C=CC=C1,-85,
7612,C1C=CC=C1,-85,
7616,CCCN(CCC)CCC,-93.5,
7616,CCCN(CCC)CCC,-93.5,
7618,C(CO)N(CCO)CCO,21.5,
7618,C(CO)N(CCO)CCO,20.5,
7618,C(CO)N(CCO)CCO,21.6,
7618,C(CO)N(CCO)CCO,21.611111111111114,
7619,C1COCCN1SC2=NC3=CC=CC=C3S2,80,
7621,CCCCN(CCCC)CCO,-70,
7622,CCCCN(CCCC)CCCC,-70,
7622,CCCCN(CCCC)CCCC,-70,
7624,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,15.7,
7626,C1=CC=C(C=C1)C=C[N+](=O)[O-],58,
7628,B(O)(O)O,171,
7628,B(O)(O)O,170.9,
7628,B(O)(O)O,171,
7628,B(O)(O)O,171.11111111111111,
7635,CCCCC(CC)COC(=O)C,-80,
7636,CCCCC(CC)COC(=O)C=C,-90,
7636,CCCCC(CC)COC(=O)C=C,-90,
7636,CCCCC(CC)COC(=O)C=C,-90,
7638,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,122.5,
7641,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-67.8,
7641,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-67.8,
7642,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,-78,
7648,C1COCCN1SSN2CCOCC2,125,
7650,CCCC(=O)OCC1=CC=CC=C1,21,
7654,CC(=O)OCCC1=CC=CC=C1,-31.1,
7657,C1=CC=C(C=C1)COCC2=CC=CC=C2,3.6,
7666,C1=CC=C(C=C1)CCBr,-67.5,
7668,CCCC1=CC=CC=C1,-99.5,
7670,CCNC1=CC=CC=C1,-63.5,
7670,CCNC1=CC=CC=C1,-63,
7672,C1=CC=C(C=C1)N=C=O,-30,
7672,C1=CC=C(C=C1)N=C=O,-30,
7674,CCOC1=CC=CC=C1,-30,
7675,C1=CC=NC(=C1)CCO,-7.8,
7678,CC(=O)CC1=CC=CC=C1,-15.3,
7681,CN(C)CC1=CC=CC=C1,-75,
7690,COC1=CC=C(C=C1)CC(=O)O,87,
7693,C1=CC(=CC=C1N=C=O)Cl,31.3,
7695,CC(=O)OCC1=CC=C(C=C1)OC,84,
7697,C1=CC(=CC=C1OCC(CO)O)Cl,78,
7705,CCCCC1=CC=CC=C1,-87.9,
7707,C1=CC=C(C=C1)CCC=O,47,
7716,CCCCCCCCCCC1=CC=CC=C1,-14.4,
7720,CCCCC(CC)CO,-70,
7720,CCCCC(CC)CO,-76,
7720,CCCCC(CC)CO,-76.11111111111111,
7721,CC1=CC=C(C=C1)CBr,34,
7723,C1=CC(=CC=C1CCl)Cl,31,
7725,CC1=CC=C(C=C1)C=O,-6,
7725,CC1=CC=C(C=C1)C=O,-6,
7728,CCC1=CN=C(C=C1)C,-70.9,
7728,CCC1=CN=C(C=C1)C,-70,
7731,CC1=CC=C(C=C1)OC,-32,
7731,CC1=CC=C(C=C1)OC,-32,
7732,COC1=CC=C(C=C1)N,57.2,
7732,COC1=CC=C(C=C1)N,57.2,
7732,COC1=CC=C(C=C1)N,57,
7732,COC1=CC=C(C=C1)N,57.22222222222222,
7734,CCC1=CC=C(C=C1)CC,-42.83,
7749,CCC(=O)OCC,-73.9,
7749,CCC(=O)OCC,-73,
7751,CCOC(=O)CCl,-26,
7751,CCOC(=O)CCl,-26,
7757,CC(=O)CC(=O)OC,-80,
7757,CC(=O)CC(=O)OC,-80,
7757,CC(=O)CC(=O)OC,-27,
7758,CCC(C)OC(=O)C,-98.9,
7758,CCC(C)OC(=O)C,-99,
7758,CCC(C)OC(=O)C,-73.33333333333333,
7758,CCC(C)OC(=O)C,-73.33333333333333,
7761,CCOC(=O)CC(=O)OCC,-50,
7761,CCOC(=O)CC(=O)OCC,-50,
7761,CCOC(=O)CC(=O)OCC,-50,
7762,CCCC(=O)OCC,-97,
7762,CCCC(=O)OCC,-93.3,
7764,CCOC(=O)CC#N,-22.5,
7765,CCOC(C)OCC,-100,
7765,CCOC(C)OCC,-100,
7765,CCOC(C)OCC,-100,
7766,CCOC(=O)OCC,-43,
7766,CCOC(=O)OCC,-43,
7767,CN(CCO)CCO,-21,
7767,CN(CCO)CCO,-21,
7768,C1CCC(=O)NCC1,69.3,
7768,C1CCC(=O)NCC1,70,
7768,C1CCC(=O)NCC1,68.88888888888889,
7768,C1CCC(=O)NCC1,68.88888888888889,
7770,CCCC(=O)OCCC,-95.2,
7773,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,49,
7784,CCCCOC(=O)CCCCC(=O)OCCCC,-38,
7789,CCCCCCC(CCCCCCCCCCC(=O)O)O,82,
7790,CCCOC(=O)CCCCC(=O)OCCC,-20,
7794,CC(CCC=C(C)C)CC=O,147,
7795,CCCC(=O)OCCC(C)C,-73.2,
7797,CCCCCCC(=O)OCC,-66.1,
7798,CCCC(=O)OC(=O)CCC,-75,
7799,CCCCCCCC(=O)OCC,-43.1,
7800,CCCCCCCCCCCC(=O)OCC,-10,
7802,CCCCC(=O)CC,-39,
7802,CCCCC(=O)CC,-39,
7802,CCCCC(=O)CC,-39,
7802,CCCCC(=O)CC,-38.888888888888886,
7802,CCCCC(=O)CC,-38.888888888888886,
7803,CCCOC(=O)CC,-75.9,
7804,C1=CC(=CC=C1Br)Br,87.3,
7805,CC1=CC=C(C=C1)Br,28.5,
7807,C1=CC(=CC=C1N)Br,66,
7808,C1=CC(=CC=C1O)Br,66.4,
7809,CC1=CC=C(C=C1)C,13.3,
7809,CC1=CC=C(C=C1)C,13,
7809,CC1=CC=C(C=C1)C,13.333333333333334,
7810,CC1=CC=C(C=C1)Cl,7.5,
7810,CC1=CC=C(C=C1)Cl,7.5,
7812,C1=CC(=CC=C1N)Cl,72.5,
7812,C1=CC(=CC=C1N)Cl,72.5,
7813,CC1=CC=C(C=C1)N,43.6,
7813,CC1=CC=C(C=C1)N,44.44444444444444,
7813,CC1=CC=C(C=C1)N,43.888888888888886,
7814,C1=CC(=CC=C1N)N,146.11111111111111,
7814,C1=CC(=CC=C1N)N,146.11111111111111,
7819,CC(C)COC(=O)C=C,-61,
7820,COC(=O)CCC(=O)OC,19.5,
7820,COC(=O)CCC(=O)OC,19,
7820,COC(=O)CCC(=O)OC,19.499999999999996,
7822,CCC(C)CC(=O)CC,-56.7,
7822,CCC(C)CC(=O)CC,-56.666666666666664,
7824,CCCCCC(=O)OC,-71,
7826,CCCCCCC(=O)OC,-55.8,
7827,CCOCCOC(=O)C=C,-47,
7833,C1CC2C(O2)CC1C3CO3,-108.88888888888889,
7834,CCC1CO1,-150,
7834,CCC1CO1,-150,
7835,C1C(O1)CCl,-25.6,
7835,C1C(O1)CCl,-57.2,
7835,C1C(O1)CCl,-48,
7835,C1C(O1)CCl,-47.77777777777778,
7835,C1C(O1)CCl,-47.77777777777778,
7838,C=CCOCC1CO1,-100,
7839,C(CBr)Br,9.8,
7839,C(CBr)Br,10,
7839,C(CBr)Br,10,
7839,C(CBr)Br,10,
7840,CCCBr,-110,
7840,CCCBr,-110,
7840,CCCBr,-110,
7841,C=CCBr,-119,
7843,CCCC,-138.3,
7843,CCCC,-138,
7843,CCCC,-138.33333333333334,
7843,CCCC,-138.33333333333334,
7844,CCC=C,-185.33,
7845,C=CC=C,-108.966,
7845,C=CC=C,-108.9,
7845,C=CC=C,-109,
7845,C=CC=C,-108.88888888888889,
7845,C=CC=C,-108.88888888888889,
7847,C=CC=O,-87.8,
7847,C=CC=O,-87.7,
7847,C=CC=O,-88,
7847,C=CC=O,-87.77777777777777,
7847,C=CC=O,-87.77777777777777,
7848,CCCS,-113.3,
7848,CCCS,-113.3,
7848,CCCS,-113,
7848,CCCS,-113.33333333333333,
7849,C(CBr)Cl,-16.7,
7850,C=CCCl,-134.5,
7850,C=CCCl,-135,
7850,C=CCCl,-134.44444444444446,
7850,C=CCCl,-134.44444444444446,
7852,CCCN,-83,
7852,CCCN,-83,
7852,CCCN,-83,
7853,C=CCN,-88.2,
7853,C=CCN,-88,
7854,CCC#N,-91.8,
7854,CCC#N,-92,
7854,CCC#N,-91.66666666666667,
7855,C=CC#N,-83.51,
7855,C=CC#N,-84,
7855,C=CC#N,-82.22222222222223,
7855,C=CC#N,-82.22222222222223,
7857,C(C#N)O,-72,
7858,C=CCO,-129,
7858,C=CCO,-129,
7858,C=CCO,-129,
7858,C=CCO,-128.88888888888889,
7858,C=CCO,-128.88888888888889,
7859,C#CCO,-52.22222222222222,
7859,C#CCO,-52.22222222222222,
7860,C(=O)C=O,15,
7860,C(=O)C=O,-14,
7860,C(=O)C=O,15,
7861,COC=C,-122,
7864,COCCl,-103.5,
7864,COCCl,-103.5,
7864,COCCl,-104,
7864,COCCl,-103.33333333333333,
7864,COCCl,-103.33333333333333,
7865,COC=O,-99.8,
7865,COC=O,-100,
7865,COC=O,-100,
7865,COC=O,-100,
7867,C=CC[Si](Cl)(Cl)Cl,35,
7868,CC(=C)CC(C)(C)C,-93.5,
7868,CC(=C)CC(C)(C)C,-93,
7869,CC(=CC(C)(C)C)C,-106.3,
7869,CC(=CC(C)(C)C)C,-106,
7870,CC(CC(C)(C)O)O,-50,
7871,CC(C)OP(=O)(C)F,-57,
7873,CCOP(=O)(OCC)OP(=O)(OCC)OCC,0,
7873,CCOP(=O)(OCC)OP(=O)(OCC)OCC,0,
7881,CCCCOP(=O)(O)OCCCC,-13,
7881,CCCCOP(=O)(O)OCCCC,-13,
7884,CC(=O)CC(C)(C)OC,-30,
7891,CC(C)CCBr,-112,
7892,CCCC(C)C,-153.6,
7892,CCCC(C)C,-153,
7894,CC(C)CCN,-60,
7895,CCCC(=O)C,-76.8,
7895,CCCC(=O)C,-76.9,
7895,CCCC(=O)C,-78,
7895,CCCC(=O)C,-77.77777777777777,
7895,CCCC(=O)C,-77.77777777777777,
7898,C(C#N)C(=O)N,119.5,
7899,C(CCl)C(=O)O,41,
7900,CC(COC)O,-95,
7900,CC(COC)O,-96,
7902,CN(C)CCO,-65,
7902,CN(C)CCO,-59,
7902,CN(C)CCO,-59,
7903,CCC[N+](=O)[O-],-104.3,
7903,CCC[N+](=O)[O-],-108,
7903,CCC[N+](=O)[O-],-107.77777777777777,
7903,CCC[N+](=O)[O-],-107.77777777777777,
7904,CC(=O)OC=C,-93.2,
7904,CC(=O)OC=C,-100,
7904,CC(=O)OC=C,-93.2,
7904,CC(=O)OC=C,-93.33333333333333,
7904,CC(=O)OC=C,-93.33333333333333,
7909,CC(C)CC(=O)C,-85,
7909,CC(C)CC(=O)C,-84,
7909,CC(C)CC(=O)C,-84.7,
7909,CC(C)CC(=O)C,-84.44444444444444,
7910,CC(C)CC(C)O,-90,
7910,CC(C)CC(C)O,-90,
7910,CC(C)CC(C)O,-90,
7910,CC(C)CC(C)O,-90,
7912,CC(C)NC(C)C,-61,
7912,CC(C)NC(C)C,-61,
7912,CC(C)NC(C)C,-61.111111111111114,
7912,CC(C)NC(C)C,-96.11111111111111,
7913,C(=O)(N)NC(=O)N,190,
7914,CC(C)OC(C)C,-86.8,
7914,CC(C)OC(C)C,-60,
7914,CC(C)OC(C)C,-86.11111111111111,
7914,CC(C)OC(C)C,-60,
7915,CC(C)OC(=O)C,-73.4,
7915,CC(C)OC(=O)C,-73.4,
7915,CC(C)OC(=O)C,-73,
7915,CC(C)OC(=O)C,-73.38888888888889,
7915,CC(C)OC(=O)C,-68.88888888888889,
7916,CC(=C)OC(=O)C,-92.9,
7916,CC(=C)OC(=O)C,-92.9,
7918,CC(=O)OC(=O)C,-73.4,
7918,CC(=O)OC(=O)C,-73,
7918,CC(=O)OC(=O)C,-73,
7918,CC(=O)OC(=O)C,-72.77777777777777,
7918,CC(=O)OC(=O)C,-72.77777777777777,
7921,CC1CCC(=O)O1,-31,
7922,C1CC(=O)OC1=O,119.6,
7922,C1CC(=O)OC1=O,119,
7922,C1CC(=O)OC1=O,119.6,
7923,C1=CC(=O)OC1=O,52.56,
7923,C1=CC(=O)OC1=O,53,
7923,C1=CC(=O)OC1=O,52.77777777777778,
7923,C1=CC(=O)OC1=O,52.77777777777778,
7924,CC1COC(=O)O1,-48.8,
7929,CC1=CC(=CC=C1)C,-47.85,
7929,CC1=CC(=CC=C1)C,-48,
7929,CC1=CC(=CC=C1)C,-47.77777777777778,
7932,C1=CC(=CC(=C1)Cl)N,-10.4,
7932,C1=CC(=CC(=C1)Cl)N,-10,
7933,C1=CC(=CC(=C1)Cl)O,33.5,
7933,C1=CC(=CC(=C1)Cl)O,33,
7934,CC1=CC(=CC=C1)N,-31.3,
7934,CC1=CC(=CC=C1)N,-30,
7934,CC1=CC(=CC=C1)N,-30.555555555555557,
7934,CC1=CC(=CC=C1)N,-30.555555555555557,
7936,CC1=CC(=NC=C1)C,-64,
7937,CC1=NC(=CC=C1)C,-5.8,
7937,CC1=NC(=CC=C1)C,-6,
7945,CCOC(=O)CC(C)C,-99.3,
7946,CC(COC)OC(=O)C,-66,
7947,CC1=CC(=CC(=C1)C)C,-44.8,
7947,CC1=CC(=CC(=C1)C)C,-44.7,
7947,CC1=CC(=CC(=C1)C)C,-45,
7947,CC1=CC(=CC(=C1)C)C,-45,
7948,CC1=CC(=CC(=C1)O)C,64,
7948,CC1=CC(=CC(=C1)O)C,64,
7949,CC1=CC(=CC(=C1)N)C,9.8,
7949,CC1=CC(=CC(=C1)N)C,9.8,
7950,C1=C(C=C(C=C1Cl)Cl)Cl,62.8,
7950,C1=C(C=C(C=C1Cl)Cl)Cl,63,
7953,CC1=CC(=NC(=C1)C)C,-44.5,
7954,C1(=NC(=NC(=N1)Cl)Cl)Cl,146,
7954,C1(=NC(=NC(=N1)Cl)Cl)Cl,154,
7955,C1(=NC(=NC(=N1)N)N)N,354,
7955,C1(=NC(=NC(=N1)N)N)N,345,
7956,C1(=O)NC(=O)NC(=O)N1,360,
7956,C1(=O)NC(=O)NC(=O)N1,360,
7958,CC(C)CC(=O)CC(C)C,-41.5,
7958,CC(C)CC(=O)CC(C)C,-41.5,
7958,CC(C)CC(=O)CC(C)C,-42,
7958,CC(C)CC(=O)CC(C)C,-41.666666666666664,
7959,CC(C)CC(C)OC(=O)C,-64,
7959,CC(C)CC(C)OC(=O)C,-63.888888888888886,
7959,CC(C)CC(C)OC(=O)C,-63.888888888888886,
7961,C1=CC=C(C=C1)Br,-30.7,
7962,CC1CCCCC1,-126.6,
7962,CC1CCCCC1,-126.7,
7962,CC1CCCCC1,-126.66666666666667,
7962,CC1CCCCC1,-126.66666666666667,
7963,CC1=CC=NC=C1,3.68,
7963,CC1=CC=NC=C1,3.7,
7964,C1=CC=C(C=C1)Cl,-45.2,
7964,C1=CC=C(C=C1)Cl,-45.2,
7964,C1=CC=C(C=C1)Cl,-45,
7964,C1=CC=C(C=C1)Cl,-45.55555555555556,
7964,C1=CC=C(C=C1)Cl,-45.55555555555556,
7965,C1CCC(CC1)N,-17.7,
7965,C1CCC(CC1)N,-18,
7965,C1CCC(CC1)N,-17.7,
7965,C1CCC(CC1)N,-17.72222222222222,
7965,C1CCC(CC1)N,-17.77777777777778,
7966,C1CCC(CC1)O,25.93,
7966,C1CCC(CC1)O,23,
7966,C1CCC(CC1)O,25,
7966,C1CCC(CC1)O,25,
7967,C1CCC(=O)CC1,-31,
7967,C1CCC(=O)CC1,-31,
7967,C1CCC(=O)CC1,-32.1,
7967,C1CCC(=O)CC1,-45,
7967,C1CCC(=O)CC1,-45,
7969,C1=CC=C(C=C1)S,-14.87,
7969,C1=CC=C(C=C1)S,-14.8,
7969,C1=CC=C(C=C1)S,-15,
7969,C1=CC=C(C=C1)S,-14.777777777777779,
7969,C1=CC=C(C=C1)S,-15,
7970,CC1=CN=CC=C1,-18.1,
7970,CC1=CN=CC=C1,-18,
7975,CC1=CC=CC=N1,-66.65,
7975,CC1=CC=CC=N1,-70,
7976,CC1=NC=CN=C1,-29,
7983,CCCCOC(=O)CCC,-91.5,
7983,CCCCOC(=O)CCC,-91.66666666666667,
7986,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-10,
7986,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,12,
7991,CCCCC(=O)O,-34.5,
7991,CCCCC(=O)O,-34,
7991,CCCCC(=O)O,-34.5,
7996,CC(C)OCCO,-60,
7997,CCCOC(=O)C,-93,
7997,CCCOC(=O)C,-93,
7997,CCCOC(=O)C,-92,
7997,CCCOC(=O)C,-92.22222222222223,
7997,CCCOC(=O)C,-92.22222222222223,
8001,C(CBr)CBr,-36,
8002,CCCCBr,-112,
8003,CCCCC,-129.67,
8003,CCCCC,-129,
8003,CCCCC,-129,
8003,CCCCC,-130,
8003,CCCCC,-130,
8004,CCCC=C,-165.2,
8005,CCCCCl,-123.1,
8005,CCCCCl,-123,
8006,C(CCl)CBr,-58.9,
8006,C(CCl)CBr,-58.9,
8007,CCCCN,-50,
8007,CCCCN,-104,
8007,CCCCN,-50,
8007,CCCCN,-50,
8007,CCCCN,-104,
8007,CCCCN,-50,
8007,CCCCN,-50,
8008,CCCC#N,-112,
8008,CCCC#N,-112,
8008,CCCC#N,-112.22222222222223,
8009,C=CCC#N,-87,
8010,C(C#N)C#N,32,
8010,C(C#N)C#N,32.22222222222222,
8011,C(CO)C#N,-46,
8011,C(CO)C#N,-46,
8012,CCCCS,-115.9,
8012,CCCCS,-119,
8012,CCCCS,-116,
8012,CCCCS,80.11111111111111,
8012,CCCCS,-115.55555555555556,
8013,C(CS)CS,-79,
8016,CNCCO,-3,
8016,CNCCO,-4.5,
8019,COCCO,-85.1,
8019,COCCO,-45.1,
8019,COCCO,-85,
8019,COCCO,-45,
8019,COCCO,-85,
8019,COCCO,-85,
8020,COCOC,-105,
8020,COCOC,-105,
8020,COCOC,-105,
8020,COCOC,-105,
8021,CCNCC,-50,
8021,CCNCC,-50,
8021,CCNCC,-50,
8021,CCNCC,-50,
8021,CCNCC,-50,
8023,CCOC=C,-115.8,
8023,CCOC=C,-115,
8025,CCOC=O,-80.5,
8025,CCOC=O,-80.5,
8025,CCOC=O,-80,
8025,CCOC=O,-80.55555555555556,
8025,CCOC=O,-80.55555555555556,
8027,C1=CNC=C1,-23.4,
8027,C1=CNC=C1,-24,
8028,C1CCOC1,-108.44,
8028,C1CCOC1,-108.3,
8028,C1CCOC1,-108.5,
8028,C1CCOC1,-108.5,
8028,C1CCOC1,-108.33333333333333,
8029,C1=COC=C1,-85.61,
8029,C1=COC=C1,-85.6,
8029,C1=COC=C1,-85.6,
8030,C1=CSC=C1,-39.4,
8030,C1=CSC=C1,-38.3,
8030,C1=CSC=C1,-38,
8031,CC(C)(CCC(C)(C)O)O,92,
8033,CC(C)(C)OOC(C)(C)C,-40,
8033,CC(C)(C)OOC(C)(C)C,-40,
8034,CC(C)CCC(=O)C,-74,
8034,CC(C)CCC(=O)C,-74,
8034,CC(C)CCC(=O)C,-73.88888888888889,
8034,CC(C)CCC(=O)C,-73.88888888888889,
8038,CC(C)COC(=O)C,-98.8,
8038,CC(C)COC(=O)C,-98.85,
8038,CC(C)COC(=O)C,-99,
8038,CC(C)COC(=O)C,-98.33333333333333,
8038,CC(C)COC(=O)C,-98.33333333333333,
8039,C(=O)(N)NNC(=O)N,258,
8040,CC(=O)OOC(=O)C,30,
8042,CCCCCCCCCCCCCC(=O)OC(C)C,3,
8048,CCCCCCCCCC(=O)OCC,-20,
8049,CCOC(=O)CCCCCCCCC(=O)OCC,5,
8050,CCCCCCCCCC(=O)OC,-18,
8050,CCCCCCCCCC(=O)OC,-18,
8051,CCCCCC(=O)C,-35.5,
8051,CCCCCC(=O)C,-35,
8051,CCCCCC(=O)C,-35.5,
8051,CCCCCC(=O)C,-35.55555555555556,
8051,CCCCCC(=O)C,-35.55555555555556,
8052,CC(C)CCOC=O,-93.5,
8054,CC(=O)OCCOC,-65.1,
8054,CC(=O)OCCOC,-65,
8054,CC(=O)OCCOC,-65,
8054,CC(=O)OCCOC,-65,
8058,CCCCCC,-95.35,
8058,CCCCCC,-93.5,
8058,CCCCCC,-95,
8058,CCCCCC,-95,
8058,CCCCCC,-139.44444444444446,
8061,CCCCC#N,-96.2,
8062,C(CC#N)C#N,54.5,
8062,C(CC#N)C#N,54,
8062,C(CC#N)C#N,56.666666666666664,
8063,CCCCC=O,-91.5,
8063,CCCCC=O,-92,
8063,CCCCC=O,-91,
8063,CCCCC=O,-91.5,
8063,CCCCC=O,-91.66666666666667,
8064,C(CCO)CO,20.43,
8064,C(CCO)CO,20,
8066,C(C#CCO)O,50,
8066,C(C#CCO)O,58,
8067,CCCCCS,-75.69,
8067,CCCCCS,-75.7,
8067,CCCCCS,-75.7,
8067,CCCCCS,-75.55555555555556,
8071,COCCOC,-58,
8071,COCCOC,-58,
8073,CCCOC=O,-92.9,
8074,C=COCCCl,-70.3,
8075,CCSCCO,-100,
8076,CCOCCO,-70,
8076,CCOCCO,-70,
8076,CCOCCO,-70,
8076,CCOCCO,-70,
8076,CCOCCO,-90,
8077,CCSSCC,-101.5,
8078,C1CCCCC1,6.47,
8078,C1CCCCC1,6.5,
8078,C1CCCCC1,7,
8078,C1CCCCC1,6.666666666666667,
8078,C1CCCCC1,6.666666666666667,
8079,C1CCC=CC1,-103.5,
8079,C1CCC=CC1,-104,
8079,C1CCC=CC1,-103.33333333333333,
8079,C1CCC=CC1,-103.33333333333333,
8081,C1OCOCO1,64,
8082,C1CCNCC1,-7,
8082,C1CCNCC1,-9,
8082,C1CCNCC1,-7,
8083,C1COCCN1,-4.8,
8083,C1COCCN1,-4.9,
8083,C1COCCN1,-5,
8083,C1COCCN1,-4.888888888888889,
8083,C1COCCN1,-5,
8085,CC(C)CNCC(C)C,-73.5,
8085,CC(C)CNCC(C)C,-74,
8086,CC(CNCC(C)O)O,42,
8091,CCCCCCCC(=O)OC,-40,
8091,CCCCCCCC(=O)OC,-40,
8093,CCCCCCC(=O)C,-16,
8093,CCCCCCC(=O)C,-16,
8094,CCCCCCC(=O)O,-7.17,
8094,CCCCCCC(=O)O,-7.5,
8094,CCCCCCC(=O)O,-7.5,
8095,CCOCCOC(=O)C,-61.7,
8095,CCOCCOC(=O)C,-62,
8095,CCOCCOC(=O)C,-61.666666666666664,
8095,CCOCCOC(=O)C,-61.666666666666664,
8096,C(CSCCC(=O)O)C(=O)O,134,
8096,C(CSCCC(=O)O)C(=O)O,134,
8098,CC(=O)OCCOCCOCCOC(=O)C,-50,
8102,CCCCCCN,-21,
8102,CCCCCCN,-22.9,
8102,CCCCCCN,-22.9,
8103,CCCCCCO,-44.6,
8103,CCCCCCO,-44.6,
8103,CCCCCCO,-44.6,
8105,C(CCO)CCO,-18,
8106,CCCCCCS,-81,
8106,CCCCCCS,-80.55555555555556,
8108,CCCCOC=C,-92,
8110,CCCCN=C=O,-75,
8111,C(CNCCN)N,-39,
8111,C(CNCCN)N,-39,
8111,C(CNCCN)N,-39,
8111,C(CNCCN)N,-38.888888888888886,
8111,C(CNCCN)N,-38.888888888888886,
8113,C(CO)NCCO,27.9,
8113,C(CO)NCCO,28,
8113,C(CO)NCCO,28,
8113,C(CO)NCCO,27.77777777777778,
8113,C(CO)NCCO,27.77777777777778,
8114,CCCOCCC,-122,
8114,CCCOCCC,-122,
8115,C(CCl)OCCCl,-51.9,
8115,C(CCl)OCCCl,-50,
8115,C(CCl)OCCCl,-50,
8115,C(CCl)OCCCl,-50,
8117,C(COCCO)O,-10.4,
8117,C(COCCO)O,-6.5,
8118,CCCSCCC,-102.5,
8119,C1CCCNCC1,-37,
8121,CC(=O)OCCOC(=O)C,-31,
8122,CCCCCCCCCCCCCCCCCC(=O)OCC,33.4,
8125,CCCCCCC=C,-101.7,
